datum,avkastning
2022-09-09,1.4580289985967276
2022-09-12,-0.327786476040437
2022-09-13,-0.7096722218896012
2022-09-14,-4.473506261348881
2022-09-15,-2.983281238163382
2022-09-16,-0.31565249567000464
2022-09-19,-0.7450365588511865
2022-09-20,-1.0720603894846192
2022-09-21,0.013996780763214645
2022-09-22,-2.666446444032644
2022-09-23,-3.1095126241949878
2022-09-26,-0.893660996640655
2022-09-27,1.2045650889604076
2022-09-28,-0.5781648304673759
2022-09-29,-3.479401045870123
2022-09-30,0.8125763376539474
2022-10-03,2.2048612907219933
2022-10-04,3.27657313718408
2022-10-05,-0.8273506806222741
2022-10-06,1.2312750613127754
2022-10-07,-0.9401964101538596
2022-10-10,-0.0726902699740073
2022-10-11,0.3774137155208024
2022-10-12,0.5058179727353007
